日期,股票代码,股票名称,5年均值回归的市盈率,10年均值回归的市盈率,最新市盈率,预估每股净利润增长率(%),PEG,5年均值PE回归的收益率(%),10年均值PE回归的收益率(%),最新市净率,5年均值回归的市净率,10年均值回归的市净率,报告信息
2025/11/28,600150,中国船舶,187,130.8,38.3,42.26%,0.9,214.21%,162.76%,1.83,2.56,2.26,"诚通证券  2025-10-31  30.6  21.9  14.4  0.4577379737113252  https://pdf.dfcfw.com/pdf/H3_AP202510311772551806_1.pdf
东吴证券  2025-10-31  29.72  20.14  15.44  0.3873970110682967  https://pdf.dfcfw.com/pdf/H3_AP202510311772233909_1.pdf"
2025/11/28,601816,京沪高铁,88.3,80.3,19.1,4.46%,4.3,124.72%,114.35%,1.22,1.34,1.41,"国金证券  2025-11-02  22.13  21.22  20.42  0.04102902455724888  https://pdf.dfcfw.com/pdf/H3_AP202511021773633129_1.pdf
信达证券  2025-10-31  19.65  18.69  17.76  0.0518644964627899  https://pdf.dfcfw.com/pdf/H3_AP202510311772558223_1.pdf
国金证券  2025-10-31  22.13  21.22  20.42  0.04102902455724888  https://pdf.dfcfw.com/pdf/H3_AP202510311772517724_1.pdf"
2025/11/28,601628,中国人寿,25,26.5,7.2,3.22%,2.2,91.91%,97.49%,1.97,2.01,2.17,"华源证券  2025-11-06  7.01  7.91  6.53  0.03610177650222024  https://pdf.dfcfw.com/pdf/H3_AP202511061776095251_1.pdf
国信证券  2025-11-04  7.01  6.81  6.61  0.029812785006764653  https://pdf.dfcfw.com/pdf/H3_AP202511041774883965_1.pdf
东吴证券  2025-11-01  7.12  7.04  6.69  0.03163706669022304  https://pdf.dfcfw.com/pdf/H3_AP202511011772785609_1.pdf
东吴证券  2025-10-20  6.54  6.48  6.15  0.031219973694430303  https://pdf.dfcfw.com/pdf/H3_AP202510201765467140_1.pdf"
2025/11/28,603259,药明康德,46.2,54.7,18.1,13.53%,1.3,81.10%,97.16%,3.84,5.97,7.23,"中国银河  2025-10-28  18.53  18.95  15.59  0.09022127324281004  https://pdf.dfcfw.com/pdf/H3_AP202510281770692778_1.pdf
信达证券  2025-10-28  21.34  22.58  19.55  0.044777537230672904  https://pdf.dfcfw.com/pdf/H3_AP202510281770424530_1.pdf
浦银国际证券  2025-10-28  19.0  16.6  14.6  0.14077599160119902  https://pdf.dfcfw.com/pdf/H3_AP202510281770682592_1.pdf
招银国际  2025-10-09  24.7  21.0  18.0  0.17141889272037192  https://pdf.dfcfw.com/pdf/H3_AP202510091758876420_1.pdf
浦银国际证券  2025-10-07  18.1  16.0  13.6  0.15363874455618753  https://pdf.dfcfw.com/pdf/H3_AP202510061757270907_1.pdf
华金证券  2025-09-28  24.2  20.0  16.5  0.21106014163899656  https://pdf.dfcfw.com/pdf/H3_AP202509281752233237_1.pdf"
2025/11/28,601600,中国铝业,29.4,73.4,12.6,9.13%,1.4,66.41%,162.97%,2.46,1.78,1.73,"太平洋  2025-11-09  11.92  10.83  9.85  0.10006921794219803  https://pdf.dfcfw.com/pdf/H3_AP202511091778040571_1.pdf
国信证券  2025-10-31  11.5  10.3  9.7  0.08883745816778288  https://pdf.dfcfw.com/pdf/H3_AP202510311772528034_1.pdf
民生证券  2025-10-30  12.0  10.0  10.0  0.09544511501033215  https://pdf.dfcfw.com/pdf/H3_AP202510301771866463_1.pdf
国金证券  2025-10-28  10.89  9.97  9.32  0.08095094043269047  https://pdf.dfcfw.com/pdf/H3_AP202510281770469596_1.pdf"
2025/11/28,600809,山西汾酒,45.6,43.8,19.3,7.68%,2.5,65.56%,62.32%,6.11,16.08,12.2,"西南证券  2025-11-06  19.31  18.31  16.75  0.07370192367133366  https://pdf.dfcfw.com/pdf/H3_AP202511061776242001_1.pdf
山西证券  2025-11-05  18.9  18.0  17.0  0.05440253503221082  https://pdf.dfcfw.com/pdf/H3_AP202511041775199216_1.pdf
华鑫证券  2025-11-04  19.4  18.3  16.7  0.07781104406411932  https://pdf.dfcfw.com/pdf/H3_AP202511041774827306_1.pdf
国信证券  2025-11-03  19.3  18.4  16.5  0.08152529776097683  https://pdf.dfcfw.com/pdf/H3_AP202511031774376071_1.pdf
群益证券  2025-11-03  18.0  17.0  15.0  0.09544511501033215  https://pdf.dfcfw.com/pdf/H3_AP202511031774262141_1.pdf
太平洋  2025-11-03  18.99  17.71  16.34  0.07804392423053863  https://pdf.dfcfw.com/pdf/H3_AP202511031774192757_1.pdf
海通国际  2025-11-03  18.91  18.35  17.52  0.03891188247289734  https://pdf.dfcfw.com/pdf/H3_AP202511031774463967_1.pdf
华安证券  2025-11-02  19.65  18.73  17.15  0.07040767689333527  https://pdf.dfcfw.com/pdf/H3_AP202511021773946017_1.pdf
民生证券  2025-11-02  19.0  18.0  16.0  0.0897247358851685  https://pdf.dfcfw.com/pdf/H3_AP202511021773856357_1.pdf
东吴证券  2025-11-01  19.37  18.44  16.75  0.07536873231825059  https://pdf.dfcfw.com/pdf/H3_AP202511011772797504_1.pdf
国金证券  2025-10-31  18.7  17.5  15.2  0.10917228503724208  https://pdf.dfcfw.com/pdf/H3_AP202510311772414438_1.pdf"
2025/11/28,603501,豪威集团,55.3,529.3,34.7,23.20%,1.5,55.37%,380.84%,5.26,9.85,12.36,"华安证券  2025-11-13  33.24  26.07  21.13  0.25424032324448786  https://pdf.dfcfw.com/pdf/H3_AP202511131780556920_1.pdf
中邮证券  2025-11-12  33.9  26.95  21.33  0.2606787179202952  https://pdf.dfcfw.com/pdf/H3_AP202511121779987369_1.pdf
国信证券  2025-11-05  34.6  27.1  22.1  0.25124372515050264  https://pdf.dfcfw.com/pdf/H3_AP202511051775482889_1.pdf
华龙证券  2025-11-04  36.2  30.1  26.6  0.16657715374470516  https://pdf.dfcfw.com/pdf/H3_AP202511041774803716_1.pdf
国元证券  2025-10-30  37.02  29.53  24.57  0.22748340384524424  https://pdf.dfcfw.com/pdf/H3_AP202510301771911360_1.pdf"
2025/11/28,688111,金山办公,117.2,143.6,80.8,20.24%,4,44.78%,60.24%,11.89,15.69,19.13,"华安证券  2025-11-05  84.88  69.55  56.6  0.22460060554841332  https://pdf.dfcfw.com/pdf/H3_AP202511051775455797_1.pdf
太平洋  2025-11-03  83.89  69.5  59.96  0.18283532226583987  https://pdf.dfcfw.com/pdf/H3_AP202511031774416361_1.pdf
中邮证券  2025-10-30  83.24  69.93  57.89  0.1991244574695492  https://pdf.dfcfw.com/pdf/H3_AP202510301771999162_1.pdf
山西证券  2025-10-30  83.6  69.4  58.2  0.19850995692087925  https://pdf.dfcfw.com/pdf/H3_AP202510301771879656_1.pdf
民生证券  2025-10-30  82.0  65.0  54.0  0.23228183404549085  https://pdf.dfcfw.com/pdf/H3_AP202510301771775223_1.pdf
国元证券  2025-10-29  86.33  73.81  64.55  0.15646567534424438  https://pdf.dfcfw.com/pdf/H3_AP202510291771334911_1.pdf
国信证券  2025-10-29  82.2  67.3  54.9  0.22362893050256116  https://pdf.dfcfw.com/pdf/H3_AP202510291771122749_1.pdf
东兴证券  2025-10-29  86.04  70.11  55.49  0.24521068441662952  https://pdf.dfcfw.com/pdf/H3_AP202510291771122741_1.pdf
开源证券  2025-10-28  73.5  61.5  50.8  0.20285094409107374  https://pdf.dfcfw.com/pdf/H3_AP202510281770602473_1.pdf
群益证券  2025-10-13  79.0  67.0  54.0  0.20953005872651342  https://pdf.dfcfw.com/pdf/H3_AP202510131761348793_1.pdf
西南证券  2025-09-16  78.17  67.23  57.67  0.16424687332013943  https://pdf.dfcfw.com/pdf/H3_AP202509161744846215_1.pdf
海通国际  2025-09-10  81.74  69.08  55.79  0.21042848667234848  https://pdf.dfcfw.com/pdf/H3_AP202509101740988535_1.pdf
东莞证券  2025-09-01  87.0  72.0  59.0  0.214321321226981  https://pdf.dfcfw.com/pdf/H3_AP202509011737740268_1.pdf
国元证券  2025-09-01  91.05  79.72  71.52  0.12830424522761485  https://pdf.dfcfw.com/pdf/H3_AP202509011737682648_1.pdf
东兴证券  2025-08-28  84.03  69.13  55.18  0.23403175010834398  https://pdf.dfcfw.com/pdf/H3_AP202508281735851491_1.pdf
信达证券  2025-08-27  79.11  67.29  56.38  0.18454934381172827  https://pdf.dfcfw.com/pdf/H3_AP202508271735367884_1.pdf
民生证券  2025-08-26  79.0  62.0  52.0  0.23257079684323578  https://pdf.dfcfw.com/pdf/H3_AP202508261734611943_1.pdf
太平洋  2025-08-25  79.23  66.43  56.63  0.18282786523868144  https://pdf.dfcfw.com/pdf/H3_AP202508251734313547_1.pdf
山西证券  2025-08-25  85.1  72.3  60.8  0.1830769428196879  https://pdf.dfcfw.com/pdf/H3_AP202508251734168008_1.pdf
中国银河  2025-08-25  78.8  65.83  49.95  0.2560165514743735  https://pdf.dfcfw.com/pdf/H3_AP202508251734127425_1.pdf
国信证券  2025-08-22  73.4  60.1  49.0  0.22391142803450848  https://pdf.dfcfw.com/pdf/H3_AP202508221732165328_1.pdf
开源证券  2025-08-21  74.2  63.7  54.9  0.1625610820860366  https://pdf.dfcfw.com/pdf/H3_AP202508211731630898_1.pdf"
2025/11/28,603993,洛阳钼业,26.2,43.1,17.8,19.06%,0.9,44.61%,85.48%,4.47,2.8,3.09,"中邮证券  2025-10-31  18.62  14.67  11.9  0.2508820417421225  https://pdf.dfcfw.com/pdf/H3_AP202510311772625013_1.pdf
华源证券  2025-10-31  18.66  14.94  13.3  0.1844861834555067  https://pdf.dfcfw.com/pdf/H3_AP202510311772600457_1.pdf
国信证券  2025-10-31  19.2  16.5  15.7  0.10586162620181927  https://pdf.dfcfw.com/pdf/H3_AP202510311772528037_1.pdf
东吴证券  2025-10-29  19.06  14.06  12.05  0.2576735421361187  https://pdf.dfcfw.com/pdf/H3_AP202510291771110308_1.pdf
中国银河  2025-10-28  18.49  15.23  14.34  0.13551762599266937  https://pdf.dfcfw.com/pdf/H3_AP202510281770694676_1.pdf
民生证券  2025-10-27  19.0  15.0  13.0  0.20894104965397764  https://pdf.dfcfw.com/pdf/H3_AP202510271770189351_1.pdf"
2025/11/28,688008,澜起科技,78.2,82.3,65.7,29.77%,2.2,41.63%,45.30%,11.07,8.02,9.37,"太平洋  2025-11-09  68.72  49.71  39.08  0.32606342872080907  https://pdf.dfcfw.com/pdf/H3_AP202511091778040576_1.pdf
中银证券  2025-11-07  68.5  54.8  44.1  0.24630974555260954  https://pdf.dfcfw.com/pdf/H3_AP202511071776760447_1.pdf
群益证券  2025-11-06  66.23  50.03  39.49  0.29504187249166214  https://pdf.dfcfw.com/pdf/H3_AP202511061776269590_1.pdf
中国银河  2025-11-05  70.3  51.53  40.48  0.3178239939579881  https://pdf.dfcfw.com/pdf/H3_AP202511051775439531_1.pdf
国信证券  2025-11-03  76.6  62.0  51.5  0.2195813383193017  https://pdf.dfcfw.com/pdf/H3_AP202511031774262094_1.pdf
华安证券  2025-11-02  72.13  45.76  39.44  0.35235126922529036  https://pdf.dfcfw.com/pdf/H3_AP202511021773804236_1.pdf
国元证券  2025-11-01  77.74  54.76  44.17  0.3266567422813693  https://pdf.dfcfw.com/pdf/H3_AP202511011773273776_1.pdf"
2025/11/28,600519,贵州茅台,35.4,33.2,20.2,6.28%,3.2,40.75%,36.25%,7.07,10.87,9.92,"东莞证券  2025-11-06  19.61  18.51  17.33  0.06374985887753404  https://pdf.dfcfw.com/pdf/H3_AP202511061776269653_1.pdf
中邮证券  2025-11-05  19.83  18.75  17.5  0.06449183047257678  https://pdf.dfcfw.com/pdf/H3_AP202511051775482877_1.pdf
山西证券  2025-11-05  19.8  18.4  17.0  0.07921540127675208  https://pdf.dfcfw.com/pdf/H3_AP202511051775448346_1.pdf
东兴证券  2025-11-05  19.94  18.97  17.95  0.05397509920742616  https://pdf.dfcfw.com/pdf/H3_AP202511051775664554_1.pdf
华鑫证券  2025-11-05  19.7  18.5  17.4  0.0640413093700718  https://pdf.dfcfw.com/pdf/H3_AP202511051775482920_1.pdf
西南证券  2025-11-04  19.77  18.24  16.87  0.08254458846306645  https://pdf.dfcfw.com/pdf/H3_AP202511041774862334_1.pdf
开源证券  2025-11-03  19.6  18.4  17.4  0.06133726101046477  https://pdf.dfcfw.com/pdf/H3_AP202511031774433107_1.pdf
华安证券  2025-11-02  19.82  18.89  17.69  0.05849280092495146  https://pdf.dfcfw.com/pdf/H3_AP202511021773747364_1.pdf
太平洋  2025-11-02  19.64  18.61  17.72  0.05278304719895921  https://pdf.dfcfw.com/pdf/H3_AP202511021773734683_1.pdf
民生证券  2025-10-31  20.0  19.0  18.0  0.05409255338945984  https://pdf.dfcfw.com/pdf/H3_AP202510311772448641_1.pdf
万联证券  2025-10-31  19.38  17.76  16.28  0.0910626427559924  https://pdf.dfcfw.com/pdf/H3_AP202510311772357609_1.pdf
东吴证券  2025-10-31  19.88  19.23  18.49  0.03690682835385828  https://pdf.dfcfw.com/pdf/H3_AP202510311772173861_1.pdf
国信证券  2025-10-30  19.9  18.9  17.9  0.05438695153886419  https://pdf.dfcfw.com/pdf/H3_AP202510301771950370_1.pdf
东莞证券  2025-10-30  19.78  18.66  17.47  0.064061405323395  https://pdf.dfcfw.com/pdf/H3_AP202510301771942998_1.pdf
信达证券  2025-10-30  19.81  18.88  17.96  0.05024124919681028  https://pdf.dfcfw.com/pdf/H3_AP202510301771915534_1.pdf
群益证券  2025-10-30  20.0  18.0  17.0  0.08465228909328082  https://pdf.dfcfw.com/pdf/H3_AP202510301771840990_1.pdf
国金证券  2025-10-30  19.8  18.8  17.9  0.051734401546630115  https://pdf.dfcfw.com/pdf/H3_AP202510301771723396_1.pdf"
2025/11/28,688012,中微公司,88.3,151.8,87.7,38.47%,2.3,38.91%,82.16%,7.82,7.68,10.81,"东海证券  2025-11-21  86.79  55.42  40.87  0.4572448371129645  https://pdf.dfcfw.com/pdf/H3_AP202511211785175486_1.pdf
华源证券  2025-11-12  82.44  60.96  45.4  0.34753813706217773  https://pdf.dfcfw.com/pdf/H3_AP202511121780022223_1.pdf
群益证券  2025-11-04  82.4  56.7  43.5  0.3763185944988241  https://pdf.dfcfw.com/pdf/H3_AP202511041774968910_1.pdf
交银国际证券  2025-11-04  89.2  53.3  43.0  0.44028420967917414  https://pdf.dfcfw.com/pdf/H3_AP202511041774836723_1.pdf
上海证券  2025-11-02  88.15  61.46  47.08  0.36833656122127034  https://pdf.dfcfw.com/pdf/H3_AP202511021773817287_1.pdf
东吴证券  2025-10-31  76.29  54.51  41.65  0.3534004126905048  https://pdf.dfcfw.com/pdf/H3_AP202510311772205438_1.pdf
国金证券  2025-10-30  99.51  66.7  48.46  0.43298504568168394  https://pdf.dfcfw.com/pdf/H3_AP202510301771749151_1.pdf
中邮证券  2025-09-30  86.2  57.56  40.8  0.4535284992180979  https://pdf.dfcfw.com/pdf/H3_AP202509301753243692_1.pdf
华安证券  2025-09-25  73.47  53.29  42.36  0.3169735242046785  https://pdf.dfcfw.com/pdf/H3_AP202509251750282982_1.pdf
交银国际证券  2025-09-23  75.1  51.4  41.1  0.35175833944995727  https://pdf.dfcfw.com/pdf/H3_AP202509231748953751_1.pdf
群益证券  2025-09-18  66.5  45.7  35.1  0.3764399349724252  https://pdf.dfcfw.com/pdf/H3_AP202509181746001632_1.pdf
东吴证券  2025-09-07  51.49  36.81  28.12  0.35317444591637237  https://pdf.dfcfw.com/pdf/H3_AP202509071739697041_1.pdf
上海证券  2025-08-31  66.25  46.14  35.35  0.3689835583478984  https://pdf.dfcfw.com/pdf/H3_AP202508311737285912_1.pdf
开源证券  2025-08-30  60.6  41.8  29.9  0.42364175719975616  https://pdf.dfcfw.com/pdf/H3_AP202508301736908985_1.pdf
东吴证券  2025-08-29  58.06  41.5  31.7  0.35334612768682394  https://pdf.dfcfw.com/pdf/H3_AP202508291736609254_1.pdf
国金证券  2025-08-29  63.73  45.03  33.39  0.38154091000367285  https://pdf.dfcfw.com/pdf/H3_AP202508291736292437_1.pdf"
2025/11/28,601601,中国太保,10.1,13.9,6.4,9.49%,0.7,37.97%,61.65%,1.18,1.18,1.6,"华源证券  2025-11-09  6.47  5.29  4.56  0.1911589520810424  https://pdf.dfcfw.com/pdf/H3_AP202511091778101835_1.pdf
民生证券  2025-11-04  7.0  6.0  6.0  0.08012344973464347  https://pdf.dfcfw.com/pdf/H3_AP202511041775133735_1.pdf
国信证券  2025-11-04  6.84  6.69  6.47  0.028196001257321468  https://pdf.dfcfw.com/pdf/H3_AP202511041774883969_1.pdf
东吴证券  2025-11-01  5.49  5.38  5.13  0.03449284124951357  https://pdf.dfcfw.com/pdf/H3_AP202511011772815882_1.pdf
开源证券  2025-10-31  6.92  6.01  5.32  0.14050509849769988  https://pdf.dfcfw.com/pdf/H3_AP202510311772570565_1.pdf"
2025/11/28,600690,海尔智家,17.7,16.2,12.3,12.24%,1,34.44%,28.72%,2.16,2.79,2.8,"西南证券  2025-11-07  11.4  9.85  8.7  0.14470294294467823  https://pdf.dfcfw.com/pdf/H3_AP202511071776953394_1.pdf
国信证券  2025-11-04  11.8  10.6  9.6  0.1086778913041726  https://pdf.dfcfw.com/pdf/H3_AP202511041774868809_1.pdf
海通国际  2025-11-03  11.87  10.56  9.42  0.12253504430374962  https://pdf.dfcfw.com/pdf/H3_AP202511031774468266_1.pdf
太平洋  2025-11-01  11.81  10.55  9.39  0.12148160027960686  https://pdf.dfcfw.com/pdf/H3_AP202511011773015973_1.pdf
中国银河  2025-10-31  11.16  9.84  8.81  0.12549648522418155  https://pdf.dfcfw.com/pdf/H3_AP202510311772706407_1.pdf
国金证券  2025-10-31  11.45  10.31  9.27  0.11138076555291909  https://pdf.dfcfw.com/pdf/H3_AP202510311772394150_1.pdf"
2025/11/28,600031,三一重工,25,111.9,22.7,23.72%,1,30.00%,174.88%,2.55,2.65,2.66,"东莞证券  2025-11-04  23.0  19.0  16.0  0.19895788082817978  https://pdf.dfcfw.com/pdf/H3_AP202511041775023788_1.pdf
太平洋  2025-11-04  22.79  17.96  14.35  0.2602195483742227  https://pdf.dfcfw.com/pdf/H3_AP202511041774981325_1.pdf
东吴证券  2025-11-02  24.12  18.41  16.13  0.22284515740271105  https://pdf.dfcfw.com/pdf/H3_AP202511021773856441_1.pdf
国金证券  2025-10-31  23.38  18.15  14.57  0.26675456353149385  https://pdf.dfcfw.com/pdf/H3_AP202510311772357651_1.pdf"
2025/11/28,601899,紫金矿业,19.9,27.1,16.7,17.73%,0.9,28.64%,50.06%,4.53,3.85,3.25,"中国银河  2025-10-22  15.28  11.61  10.51  0.20575846374096352  https://pdf.dfcfw.com/pdf/H3_AP202510221767037147_1.pdf
东吴证券  2025-10-22  15.86  13.53  11.57  0.17080592621233892  https://pdf.dfcfw.com/pdf/H3_AP202510221766675265_1.pdf
国信证券  2025-10-22  15.5  12.6  11.4  0.16603993190928823  https://pdf.dfcfw.com/pdf/H3_AP202510221767005218_1.pdf
华鑫证券  2025-10-22  14.9  12.6  11.2  0.15341109013965304  https://pdf.dfcfw.com/pdf/H3_AP202510221766962996_1.pdf
中邮证券  2025-10-21  14.99  11.71  10.71  0.18305812083497242  https://pdf.dfcfw.com/pdf/H3_AP202510211766162268_1.pdf
华源证券  2025-10-21  15.47  12.74  10.85  0.19407137626395832  https://pdf.dfcfw.com/pdf/H3_AP202510211766414020_1.pdf
民生证券  2025-10-20  15.0  12.0  11.0  0.16774841624228443  https://pdf.dfcfw.com/pdf/H3_AP202510201765616790_1.pdf"
2025/11/28,600406,国电南瑞,28.6,27.4,22.3,12.89%,1.7,27.79%,25.23%,3.62,4.41,4.31,"中国银河  2025-11-14  23.56  21.11  18.36  0.13279495093836813  https://pdf.dfcfw.com/pdf/H3_AP202511141781187315_1.pdf
中邮证券  2025-11-11  24.13  21.39  18.89  0.13021920321972402  https://pdf.dfcfw.com/pdf/H3_AP202511111779247442_1.pdf
国信证券  2025-11-07  23.7  21.0  18.5  0.13184852391169422  https://pdf.dfcfw.com/pdf/H3_AP202511071776926482_1.pdf
华安证券  2025-11-04  23.77  21.76  19.56  0.10237705610382286  https://pdf.dfcfw.com/pdf/H3_AP202511041775176325_1.pdf
民生证券  2025-11-01  24.0  21.0  18.0  0.15470053837925146  https://pdf.dfcfw.com/pdf/H3_AP202511011773319573_1.pdf
东吴证券  2025-11-01  23.35  20.82  18.56  0.12164249944076388  https://pdf.dfcfw.com/pdf/H3_AP202511011772815864_1.pdf"
2025/11/28,688041,海光信息,159.2,159.2,213.4,41.37%,5.2,22.10%,22.10%,23.07,12.61,12.61,"华安证券  2025-10-28  179.03  129.34  90.68  0.40509972928189497  https://pdf.dfcfw.com/pdf/H3_AP202510281770680537_1.pdf
华龙证券  2025-10-27  181.9  121.1  88.2  0.4360913190476401  https://pdf.dfcfw.com/pdf/H3_AP202510271769993802_1.pdf
群益证券  2025-10-20  166.0  114.0  79.0  0.449574359177483  https://pdf.dfcfw.com/pdf/H3_AP202510201765596724_1.pdf
国信证券  2025-10-20  135.3  96.6  83.1  0.27599327771165916  https://pdf.dfcfw.com/pdf/H3_AP202510201765520100_1.pdf
太平洋  2025-10-19  178.84  120.22  85.68  0.4447496625026728  https://pdf.dfcfw.com/pdf/H3_AP202510191765109296_1.pdf
山西证券  2025-10-17  191.6  120.7  89.4  0.4639592664349512  https://pdf.dfcfw.com/pdf/H3_AP202510171763887179_1.pdf
东吴证券  2025-10-16  173.83  117.29  82.95  0.4476186510579705  https://pdf.dfcfw.com/pdf/H3_AP202510161763408639_1.pdf
开源证券  2025-10-16  185.6  133.0  96.5  0.3868367107111659  https://pdf.dfcfw.com/pdf/H3_AP202510161763271600_1.pdf"
2025/11/28,601318,中国平安,8.9,10.4,7.6,11.82%,0.6,20.57%,30.74%,1.08,1.12,1.65,"国信证券  2025-11-03  7.88  7.1  6.57  0.09516718906015065  https://pdf.dfcfw.com/pdf/H3_AP202511031774452223_1.pdf
华源证券  2025-11-03  7.0  5.9  5.2  0.16023870223064263  https://pdf.dfcfw.com/pdf/H3_AP202511031774424188_1.pdf
开源证券  2025-10-29  7.57  6.96  6.26  0.0996659382370857  https://pdf.dfcfw.com/pdf/H3_AP202510291771318691_1.pdf
东吴证券  2025-10-29  7.37  6.69  5.9  0.11765492991928483  https://pdf.dfcfw.com/pdf/H3_AP202510291771102288_1.pdf"
